date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
20091231,86.732481,22.36312,19.027943,18.152012,99.41125,24.741267,83.511439,95.38648,66.617364,86.237895,,,56.71618,,60.777008,,,,80.421318,78.061387,102.22685,75.225345,92.186914,22.814143,91.165135,,,28.868396,,,26.364607,39.015027,,19.12034,,45.833176,45.867998,110.009203,28.966577,51.416824,13.212662,24.868471,20.910478,22.799929,25.056677,28.180316,27.474963,28.150528,24.432543,52.127776,134.520004,47.323063,14.630539,20.621744,65.720001,32.909542,27.84,15.142663,21.369509,29.737191,63.003802,29.965527,12.599801,21.556909,310.300297,156.911957,25.299452,116.28111,16.830877,53.484465,36.608548,24.248808,27.97678,25.03993,51.86176,38.714086,71.639833,14.616123,29.553983,26.190114,30.628326,23.137077,51.70335,14.700304,50.623028,38.386699,41.376051,10.633703,59.419135,20.408517,28.152229,28.514859,48.636193,60.711479,20.94652,23.366432,32.395906,23.779706,46.364152,58.393367
20100104,86.859099,22.325878,18.969215,18.083802,99.221982,24.73137,83.952447,95.44153,66.79423,86.674504,27.503117,,56.609198,,61.254425,,,,80.527953,78.25522,102.30109,75.158395,92.282158,22.848489,91.24255,,,29.644971,,,26.461591,39.130914,,19.067913,,45.949596,45.847998,110.019181,29.870958,53.040232,13.47875,25.342751,21.220533,22.9722,25.105142,28.670094,27.687231,28.588688,24.359197,53.187472,133.899994,49.115271,15.242572,20.93209,66.220001,33.804365,27.870001,15.327825,22.03898,30.448078,64.697761,29.798277,12.866287,21.571854,313.688694,160.852419,25.07208,117.658009,17.226898,53.708664,37.690444,24.265826,28.062959,25.124056,52.144159,38.643666,71.943133,14.735257,29.934123,26.593966,30.294552,23.438905,52.077521,15.298337,51.032152,39.31072,41.98426,10.629092,61.26315,20.808969,29.122041,29.179759,49.322883,62.653261,21.109379,23.472231,32.907605,24.070455,47.040746,59.215446
20100105,86.951952,22.37243,19.019553,18.152012,99.53427,24.73137,84.353366,95.652565,66.891508,86.775255,27.503117,,57.312226,,61.545024,,,,80.624891,78.59883,102.62588,75.643775,92.784352,22.960112,91.672656,,,29.661854,,,26.782383,39.540378,,19.165275,,46.083923,45.838,109.979253,29.967543,53.473139,13.726488,25.432239,21.193175,22.980813,24.80627,28.388924,27.788752,28.638107,23.902819,52.726735,134.690002,50.723888,15.73803,20.605409,66.540001,35.096884,27.545,15.120082,21.940791,30.328057,65.156034,29.723944,12.932908,21.551926,312.307316,163.696237,25.255726,116.236705,17.218649,53.085883,38.420506,23.972286,27.569389,25.049712,51.745478,39.435903,71.492516,14.742702,30.055446,26.602557,30.415082,23.410608,52.706803,15.080135,51.048852,38.968194,42.99496,10.878104,61.436598,20.707036,29.075859,29.58584,49.407658,61.717354,20.867485,23.514546,32.642933,24.731247,46.572333,59.446653
20100106,86.825334,22.35381,19.044723,18.160536,99.335543,24.73137,84.104798,95.652565,67.086064,86.758465,27.521427,,56.953069,,61.704164,,,,80.634587,78.28165,102.48669,74.631175,92.195575,22.796969,91.672656,,,29.670296,,,26.573493,39.540378,,19.247659,,46.030194,45.838,109.989232,30.476805,54.113481,13.754014,25.485931,20.956073,22.963586,24.951667,28.679164,27.825667,28.182584,23.747976,52.330501,132.25,52.262564,15.922611,20.597242,66.199997,36.190557,28.195,15.011695,21.79797,30.060323,65.164213,29.565987,12.866287,22.299219,304.434422,161.949048,25.168276,115.481627,17.160894,53.517675,38.631606,23.963779,27.773086,25.013497,51.039482,40.085874,72.506409,14.958631,30.459852,26.439299,30.229652,23.07105,52.179566,15.031647,50.806715,38.968194,42.574579,10.799711,62.805913,20.404041,29.362185,29.630464,49.043119,61.393727,20.587273,22.838413,32.395906,24.76649,46.468242,59.960452
20100107,86.92663,22.381741,19.053111,18.203168,99.468028,24.73137,84.209035,95.670912,67.041844,86.800443,27.521427,,56.953069,,61.953251,,,,80.615203,78.28165,102.44957,74.756705,92.282158,22.805556,91.526422,,,29.611209,,,26.573493,39.517201,,19.187744,,46.048101,45.838,109.989232,30.239734,54.032311,14.047629,25.763342,20.874,22.963586,24.838582,28.778932,28.056394,28.130489,23.291598,51.851335,130,54.378247,16.447212,20.613577,66.459999,36.28998,27.945,15.327825,21.89616,31.168195,64.918715,29.575278,13.532503,22.354021,297.347355,165.118146,25.465608,115.081886,16.995887,53.135706,39.396852,23.904219,27.632066,24.850042,51.413246,40.457284,72.558408,14.936293,30.508381,26.164338,30.526339,22.995593,51.847917,14.975076,50.531183,39.454102,43.808885,10.772044,63.454055,20.174947,30.489011,29.367179,48.670105,61.656127,20.778872,22.702469,32.589997,25.665166,46.494264,59.772064
20100108,86.943509,22.344499,19.061501,18.194641,99.609977,24.73137,84.39346,95.790196,67.094909,86.926388,27.521427,,56.991279,,62.050117,,,,80.692749,78.378567,102.59804,74.72323,92.455325,22.839902,91.655454,,,29.931967,,,26.551114,39.501749,,19.217701,,46.191389,45.838,110.029167,30.661193,54.384048,13.96505,26.174982,21.01079,22.886064,24.814348,28.824283,28.047165,28.317508,23.910969,52.312071,133.520004,53.853696,16.30149,20.270561,66.440002,35.693434,28.635,15.282664,22.012201,31.389771,65.033282,29.621736,13.823972,22.189617,301.311314,161.995519,25.343176,116.236705,17.185646,53.318387,39.300096,23.461786,27.420535,24.858852,51.36341,40.66952,73.069684,14.973523,30.492205,26.344781,30.466076,23.278559,51.67784,15.096299,50.464386,39.239028,44.247154,10.735153,64.494734,20.027146,30.202688,30.3623,51.009931,61.778582,20.836351,22.716781,32.634112,25.427282,46.260061,59.532285
20100111,86.943509,22.40036,19.069891,18.177589,99.326078,24.73137,84.481663,95.87277,67.156813,87.010349,27.576361,,56.983636,,61.994764,,,,80.731526,78.431428,102.7094,74.313171,92.351428,22.822729,91.612441,,,30.117671,,,26.528734,39.501749,,19.322551,,46.110791,45.838,110.029167,30.494367,54.311898,13.974225,26.46134,20.928717,22.946359,25.072832,28.98754,27.991791,28.067697,24.147307,52.54244,130.309998,53.215495,16.447212,20.482904,66.5,36.09113,28.635,15.183308,21.949717,31.325145,66.187135,29.138572,13.957215,22.363985,300.855869,159.439798,24.626082,115.019697,17.284652,53.326692,39.168156,23.938254,27.796588,24.449724,51.762091,40.510344,72.775052,15.08521,30.613525,26.009671,30.090582,23.287991,51.618313,15.217522,50.264,39.382411,44.086158,10.702873,64.494734,19.931074,30.405884,30.161489,53.256505,63.116846,20.776476,22.80979,32.687044,25.374418,47.023397,60.20023
20100112,87.112329,22.344499,19.044723,18.194641,99.39232,24.741267,84.642028,95.900295,67.165651,87.279029,27.567205,,57.251092,,61.676488,,,,80.799383,78.995309,103.15484,75.585195,93.494348,23.03739,91.982332,,,29.771588,,,26.558573,39.656265,,19.315063,,46.298852,45.838,110.019181,29.91486,53.52725,13.772365,26.246572,20.700735,23.075562,24.967823,28.778932,27.631857,27.748434,23.193802,51.630179,127.349998,52.830827,15.893467,20.262394,66,34.997461,28.495001,14.91234,21.601593,30.983552,65.802521,28.636823,13.965543,22.393877,295.535557,155.964027,24.468671,115.934665,17.004137,53.609017,38.253385,24.197759,27.702576,24.436021,52.04449,40.077029,72.835712,15.003305,30.370882,25.83782,30.048858,23.165372,52.341138,15.169033,50.840114,39.167337,43.370619,10.523032,63.52708,19.923684,29.602327,30.072242,52.900446,62.749476,20.678281,22.831257,32.413552,24.740058,47.474462,59.900509
20100113,86.867542,22.40036,19.078281,18.177589,99.401785,24.73137,84.289223,95.781018,67.156813,87.186669,27.521427,,56.899578,,61.814867,,,,80.731526,78.616455,102.81148,74.706489,92.879589,22.908594,91.810293,,,30.050141,,,26.364607,39.656265,,19.255147,,46.09288,45.858,110.009203,30.266077,53.725667,13.928348,26.353957,20.901358,23.239218,25.242461,29.159871,27.945646,28.139839,23.682779,52.090916,129.110001,53.469027,16.146053,20.409401,66,34.798611,28.84,15.14718,21.994348,31.362075,65.303335,29.073531,14.015509,22.672865,293.83884,157.125718,24.599846,115.685937,17.292901,53.949474,38.921872,24.26157,28.086461,25.071244,51.986349,40.306952,72.601733,15.070318,31.487043,26.078412,30.317732,23.391743,52.76633,15.524619,51.366134,39.565622,43.558448,10.781266,64.677306,19.687202,30.054907,30.107943,52.620683,63.466713,20.869881,22.802634,32.713514,25.180586,47.717341,59.660736
20100114,87.120772,22.37243,19.061501,18.22022,99.553193,24.73137,84.59392,95.891125,67.324833,87.337802,27.521427,,57.289302,,61.884061,,,,80.809079,78.986496,103.06203,75.752564,93.459713,23.080321,91.913514,,,30.218963,,,26.506351,39.656265,,19.202722,,46.191389,45.847998,110.009203,29.897298,53.878991,13.992576,26.353957,20.956073,23.17031,25.129375,29.422897,27.945646,27.97686,23.307897,51.749972,127.349998,53.818728,16.340349,20.458403,65.959999,34.898034,29.065001,15.056856,22.271064,31.34361,65.098751,28.822656,13.90725,22.647956,295.220219,156.62386,24.748512,117.533644,17.721924,54.05742,39.308891,24.304113,28.203979,25.495053,52.036185,40.660675,72.359092,15.174559,32.344385,26.602557,30.127665,23.949366,53.404118,15.662005,51.416232,39.509862,43.263286,10.859658,65.078974,19.354648,30.775337,29.621537,52.730893,63.685382,20.941731,22.337564,32.73998,25.541819,47.023397,59.669302
